Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return,Volatility,MA5,MA10,date,headline,url
2025-09-08,111163.015625,112869.234375,110630.609375,112071.4296875,40212813407,0.0,0.0,,,,,2025-08-28 07:00:00,Bitcoin price recovers as Nvidia earnings fuel risk appetite - uk.finance.yahoo.com,https://news.google.com/rss/articles/CBMijgFBVV95cUxPV19pUmFxVnQ1OWlaTlBNT3M1UVNXNGJvRlI1d1dzd1RfQVM1bGluV29UVXNNME04aWlOUkoweVZSSVZySXRXSHpRV0hTc2lJMjBaSDc1ZFJNaWw3Ni16SXB0YkNaeE9SUW1rNjFwZC1HSThTc1RsR25ZeUdjLVJxc1h3Nl92Y1JsVko1WDV3?oc=5
2025-09-09,112077.578125,113225.4375,110776.703125,111530.546875,45984480722,0.0,0.0,-0.004826232823193166,,,,2025-08-28 07:00:00,Bitcoin price recovers as Nvidia earnings fuel risk appetite - uk.finance.yahoo.com,https://news.google.com/rss/articles/CBMijgFBVV95cUxPV19pUmFxVnQ1OWlaTlBNT3M1UVNXNGJvRlI1d1dzd1RfQVM1bGluV29UVXNNME04aWlOUkoweVZSSVZySXRXSHpRV0hTc2lJMjBaSDc1ZFJNaWw3Ni16SXB0YkNaeE9SUW1rNjFwZC1HSThTc1RsR25ZeUdjLVJxc1h3Nl92Y1JsVko1WDV3?oc=5
2025-09-10,111531.25,114275.25,110940.078125,113955.359375,56377473784,0.0,0.0,0.02174124101370767,,,,2025-09-09 20:00:39,Bitcoin wobbles after shocking US jobs revision: What’s next for BTC? - Cointelegraph,https://news.google.com/rss/articles/CBMinwFBVV95cUxQU2Rhc1lldDBSOHhIbVhESXFZMEhqOHN6ZTRvYXIzdURCU3hTUUZMNXh4MVhWUDV4ZURNNURyM1ppRGhfMFVaci1sTjZIUU5yMldnalJtWlg5YnpINktKVEZ3T3lyV0RGMWVnWnlST2Y4SWMtWEhra0tDX3hQSnBzSHVLWC1UNG5mMllwelhJbkhOam9QR2dvUUVpZnBxRGM?oc=5
2025-09-11,113961.4296875,115522.546875,113453.8359375,115507.5390625,45685065332,0.0,0.0,0.013620945043858246,,,,2025-09-10 21:59:25,TradFi Money Dominates Bitcoin News: BTC USD Price Analysis - 99Bitcoins,https://news.google.com/rss/articles/CBMi1wFBVV95cUxQYmctc3hmR3JjeFMyVG8wbzJMRTBla3pidUktd2hoNkFVVFViSWIyVnpfY3hNUnk4Q29hbTIxdXAyc0hpYXpZZ3d3ZWZXSlludkhteHp6a1R3bWRwcE1Hbmxfd0ZoRm5Vczh0Slc3cmpWYjJSa2Nha2VtWXkxZnN5ZU9ta0hlaHVtdmZWRDRCc1UycENFRko1LU5Wd3dWRldnSWxub1ozVnluMmRGcmJxX2xpWUMyQXJkMzIxUlFlTTFCWEtjdk9jRWNDcWxlUWo5aFZDTXpBdw?oc=5
2025-09-12,115507.7890625,116769.3828125,114794.484375,116101.578125,54785725894,0.0,0.0,0.005142859655061782,,113833.290625,,2025-09-10 21:59:25,TradFi Money Dominates Bitcoin News: BTC USD Price Analysis - 99Bitcoins,https://news.google.com/rss/articles/CBMi1wFBVV95cUxQYmctc3hmR3JjeFMyVG8wbzJMRTBla3pidUktd2hoNkFVVFViSWIyVnpfY3hNUnk4Q29hbTIxdXAyc0hpYXpZZ3d3ZWZXSlludkhteHp6a1R3bWRwcE1Hbmxfd0ZoRm5Vczh0Slc3cmpWYjJSa2Nha2VtWXkxZnN5ZU9ta0hlaHVtdmZWRDRCc1UycENFRko1LU5Wd3dWRldnSWxub1ozVnluMmRGcmJxX2xpWUMyQXJkMzIxUlFlTTFCWEtjdk9jRWNDcWxlUWo5aFZDTXpBdw?oc=5
2025-09-13,116093.5625,116334.6328125,115248.2734375,115950.5078125,34549454947,0.0,0.0,-0.0013011908618274504,0.010877524440371995,114609.10625,,2025-09-10 21:59:25,TradFi Money Dominates Bitcoin News: BTC USD Price Analysis - 99Bitcoins,https://news.google.com/rss/articles/CBMi1wFBVV95cUxQYmctc3hmR3JjeFMyVG8wbzJMRTBla3pidUktd2hoNkFVVFViSWIyVnpfY3hNUnk4Q29hbTIxdXAyc0hpYXpZZ3d3ZWZXSlludkhteHp6a1R3bWRwcE1Hbmxfd0ZoRm5Vczh0Slc3cmpWYjJSa2Nha2VtWXkxZnN5ZU9ta0hlaHVtdmZWRDRCc1UycENFRko1LU5Wd3dWRldnSWxub1ozVnluMmRGcmJxX2xpWUMyQXJkMzIxUlFlTTFCWEtjdk9jRWNDcWxlUWo5aFZDTXpBdw?oc=5
2025-09-14,115950.2890625,116181.5,115222.3984375,115407.65625,32798036057,0.0,0.0,-0.004681752350561785,0.010838790299880023,115384.528125,,2025-09-13 16:41:15,"Latest Crypto News Today, September 13: ETH Blasts $4,700, XRP Strong at $3.15, and SOL Close to All Time High at $240 as US Stock Market Hitting ATH and BTC USD Price Stabilizes at $115,000 - 99Bitcoins",https://news.google.com/rss/articles/CBMivwJBVV95cUxNUW9IRjhYWXM1aW5YVVhCY3FJbEQzSkdNVlkwU3Ywak1sWmRFTGRaY2hBdUlPTlN4SEJqNkdXV015ZVFxUloyalhHeFRvX2xOUmZHdXQ1VDJDdjhrRGVvZ0VBSS1EOGJoV3YyZGlUUjNkUzMzdU53MVk0bkFSOEdZVk5jSzhtLThidms4UkJ5WFVKeFFHMjNTX2VHS2Z4STVISmROS2JlV1diakZqNEJ3dXRQQy1jMVBaRGdSbTQyNlB1a2l1VG9lNzNyMkN3akNJS25MenZqVFRqamxFVTg0emh3ME9iOFY4a1dXd2FqbGdNdnd1TDZ5dlhpaGI4dkxFamF1RnRwb2g5WFloM3JzZWozUGpobGVyaC0wNzkxMkNmcjQ3U1ozMFJzV3h4VmtBLUhRNnNSNGRQRWpUeFpr?oc=5
2025-09-15,115399.6328125,116747.8828125,114461.0625,115444.875,52937859416,0.0,0.0,0.0003224981011604733,0.007094988558460591,115682.43125,,2025-09-13 16:41:15,"Latest Crypto News Today, September 13: ETH Blasts $4,700, XRP Strong at $3.15, and SOL Close to All Time High at $240 as US Stock Market Hitting ATH and BTC USD Price Stabilizes at $115,000 - 99Bitcoins",https://news.google.com/rss/articles/CBMivwJBVV95cUxNUW9IRjhYWXM1aW5YVVhCY3FJbEQzSkdNVlkwU3Ywak1sWmRFTGRaY2hBdUlPTlN4SEJqNkdXV015ZVFxUloyalhHeFRvX2xOUmZHdXQ1VDJDdjhrRGVvZ0VBSS1EOGJoV3YyZGlUUjNkUzMzdU53MVk0bkFSOEdZVk5jSzhtLThidms4UkJ5WFVKeFFHMjNTX2VHS2Z4STVISmROS2JlV1diakZqNEJ3dXRQQy1jMVBaRGdSbTQyNlB1a2l1VG9lNzNyMkN3akNJS25MenZqVFRqamxFVTg0emh3ME9iOFY4a1dXd2FqbGdNdnd1TDZ5dlhpaGI4dkxFamF1RnRwb2g5WFloM3JzZWozUGpobGVyaC0wNzkxMkNmcjQ3U1ozMFJzV3h4VmtBLUhRNnNSNGRQRWpUeFpr?oc=5
2025-09-16,115423.7578125,117005.2734375,114813.09375,116843.1875,45781744593,0.0,0.0,0.012112382641498831,0.0065189504923740356,115949.5609375,,2025-09-15 07:07:54,BTC/USD Forex Signal 15/09:Bullish Consolidation (Chart) - DailyForex,https://news.google.com/rss/articles/CBMipwFBVV95cUxNTEFQengtTHZWREhoVTRaV0ZsUXNDLXdPNnhNNlFwcHdOS0NZX20tbTI4cTlOSEJ6dnl1RXNMMXVrMzhYekQ0dk5MeFIzc3dqTWNfQ0NBUW5ITm0zaGI3VjlCeV84VGRCN0lWVjdEWm83RUhqcXVSS3lvRmdtX0U1b09sb29WYkttLXF6ZmJ0cEJ2T0FRWTVmZDFSTnBLTUs1bWx1X0laZw?oc=5
2025-09-17,116843.40625,117303.328125,115514.171875,116078.3671875,49969606656,0.0,0.0,-0.006545698802508326,0.007301885639821966,115944.91875,114889.1046875,2025-09-16 20:11:48,"Bitcoin ETF Inflows Hit $2.3B: BTC-USD at $115K Eyes $118K Breakout, $124.5K Target - tradingnews.com",https://news.google.com/rss/articles/CBMinwFBVV95cUxQY0JmRGFIbmRtRjFpUmJVclc0T29qejBSWEljWURJYXRScjRJcFpVODdRMmp0N0ZkLU53YXdxRGRUWGF4UTZKM0Z2WnhYV2N0eW1WZnliMDZGWUxEWFVFX3piSF9MYTlXRWxsNHNPUzUyeVEzWlp3cGpqTmxVeHVheXNIREo0YXE2SWNTeXRvalM5OTdwd09HZDROT3lQNm8?oc=5
